COMPRO_TIENDA,SEXO,EDAD,ESTADO_CIVIL,PROFESION
FALSO,M,40,Soltero,Otra
FALSO,M,44,Soltero,Otra
FALSO,M,44,Soltero,Otra
FALSO,M,43,Casado,Comerciantes
FALSO,M,43,Casado,Comerciantes
FALSO,F,24,Soltero,Retail
FALSO,M,28,Desconocido,Ventas
FALSO,F,22,Soltero,Profesional
FALSO,F,20,Casado,Retail
FALSO,F,46,Casado,Retail
FALSO,M,31,Desconocido,Ventas
FALSO,M,31,Desconocido,Ventas
FALSO,M,31,Desconocido,Ventas
FALSO,M,31,Desconocido,Ventas
FALSO,M,31,Desconocido,Ventas
FALSO,F,23,Soltero,Estudiante
FALSO,F,23,Soltero,Estudiante
FALSO,F,37,Casado,Otra
FALSO,F,37,Casado,Otra
FALSO,F,50,Casado,Otra
FALSO,F,18,Soltero,Estudiante
FALSO,M,30,Soltero,Comerciantes
FALSO,F,67,Casado,Otra
FALSO,M,30,Casado,Otra
FALSO,M,24,Soltero,Profesional
FALSO,F,31,Casado,Otra
FALSO,F,31,Casado,Otra
FALSO,M,35,Casado,Otra
FALSO,M,41,Casado,Comerciantes
FALSO,M,41,Casado,Comerciantes
FALSO,F,25,Soltero,Otra
FALSO,F,23,Soltero,Otra
FALSO,F,25,Soltero,Otra
FALSO,F,30,Casado,Hosteleria
FALSO,M,49,Desconocido,Comerciantes
FALSO,M,39,Casado,Otra
VERDADERO,F,34,Casado,Otra
FALSO,F,34,Casado,Otra
VERDADERO,M,28,Soltero,Estudiante
FALSO,F,42,Casado,Otra
FALSO,F,27,Soltero,Otra
VERDADERO,M,25,Soltero,Profesional
FALSO,M,55,Casado,Otra
FALSO,M,27,Casado,Otra
FALSO,M,27,Casado,Otra
FALSO,F,19,Soltero,Profesional
FALSO,M,50,Casado,Profesional
FALSO,F,33,Casado,Otra
FALSO,F,33,Casado,Otra
FALSO,M,35,Casado,Ventas
FALSO,M,26,Casado,Ventas
FALSO,M,26,Casado,Ventas
FALSO,F,31,Casado,Retail
FALSO,F,31,Casado,Retail
VERDADERO,M,42,Casado,Ventas
FALSO,M,42,Casado,Ventas
FALSO,F,40,Casado,Otra
FALSO,F,40,Casado,Otra
FALSO,F,21,Casado,Otra
FALSO,F,19,Soltero,Otra
FALSO,F,43,Casado,Otra
FALSO,F,43,Casado,Otra
FALSO,F,31,Casado,Otra
FALSO,F,31,Casado,Otra
FALSO,F,49,Casado,Ejecutivo
FALSO,F,49,Casado,Ejecutivo
FALSO,M,43,Casado,Comerciantes
FALSO,M,43,Casado,Comerciantes
VERDADERO,F,29,Soltero,Hosteleria
FALSO,F,29,Soltero,Hosteleria
VERDADERO,F,24,Soltero,Retail
FALSO,M,20,Soltero,Otra
FALSO,M,20,Soltero,Otra
FALSO,M,33,Casado,Ejecutivo
FALSO,M,19,Soltero,Otra
FALSO,M,27,Casado,Otra
FALSO,M,27,Casado,Ejecutivo
FALSO,M,27,Casado,Ejecutivo
FALSO,M,27,Casado,Ejecutivo
FALSO,F,22,Soltero,Otra
FALSO,F,22,Soltero,Otra
FALSO,F,25,Soltero,Retail
FALSO,F,39,Casado,Otra
FALSO,F,28,Soltero,Otra
FALSO,F,20,Soltero,Estudiante
FALSO,F,46,Casado,Otra
FALSO,F,46,Casado,Otra
FALSO,M,22,Soltero,Otra
FALSO,F,40,Casado,Otra
FALSO,F,27,Soltero,Otra
FALSO,F,57,Casado,Jubilado
FALSO,F,27,Soltero,Otra
FALSO,F,27,Soltero,Otra
FALSO,F,21,Soltero,Otra
FALSO,F,25,Casado,Ejecutivo
FALSO,M,35,Casado,Otra
FALSO,M,39,Casado,Ejecutivo
FALSO,M,39,Casado,Ejecutivo
FALSO,F,33,Casado,Hosteleria
FALSO,F,23,Soltero,Retail
FALSO,F,44,Casado,Otra
FALSO,M,31,Casado,Ventas
FALSO,M,31,Casado,Ventas
FALSO,F,23,Soltero,Retail
FALSO,M,24,Soltero,Estudiante
FALSO,M,24,Soltero,Estudiante
VERDADERO,M,31,Soltero,Profesional
FALSO,M,31,Soltero,Profesional
FALSO,F,19,Soltero,Retail
VERDADERO,M,33,Soltero,Otra
FALSO,M,33,Soltero,Otra
FALSO,M,41,Casado,Otra
FALSO,F,25,Casado,Otra
FALSO,F,25,Casado,Otra
FALSO,M,43,Soltero,Otra
FALSO,M,43,Soltero,Otra
FALSO,M,43,Soltero,Otra
VERDADERO,M,19,Soltero,Otra
FALSO,M,19,Soltero,Otra
VERDADERO,M,28,Soltero,Ventas
FALSO,M,28,Soltero,Ventas
VERDADERO,M,27,Soltero,Ventas
FALSO,F,38,Casado,Otra
FALSO,F,38,Casado,Otra
FALSO,M,37,Casado,Comerciantes
FALSO,F,34,Casado,Otra
FALSO,F,34,Casado,Otra
FALSO,F,46,Casado,Ejecutivo
FALSO,F,46,Casado,Ejecutivo
FALSO,M,41,Casado,Otra
FALSO,M,41,Casado,Otra
FALSO,M,44,Soltero,Profesional
FALSO,F,38,Soltero,Retail
VERDADERO,F,31,Casado,Hosteleria
FALSO,F,31,Casado,Hosteleria
FALSO,F,27,Casado,Retail
FALSO,F,27,Casado,Retail
FALSO,F,45,Casado,Otra
FALSO,M,24,Soltero,Estudiante
FALSO,M,24,Soltero,Estudiante
FALSO,M,39,Casado,Otra
FALSO,M,39,Casado,Otra
FALSO,F,28,Soltero,Estudiante
FALSO,F,28,Soltero,Estudiante
FALSO,M,32,Soltero,Otra
FALSO,M,32,Soltero,Otra
FALSO,M,32,Soltero,Otra
FALSO,F,52,Desconocido,Hosteleria
FALSO,M,37,Desconocido,Comerciantes
FALSO,M,29,Soltero,Profesional
FALSO,M,41,Casado,Profesional
FALSO,F,34,Soltero,Retail
FALSO,F,50,Casado,Otra
FALSO,F,50,Casado,Otra
VERDADERO,M,27,Soltero,Comerciantes
FALSO,F,27,Soltero,Otra
FALSO,M,19,Soltero,Profesional
FALSO,F,23,Casado,Otra
FALSO,F,23,Casado,Otra
FALSO,M,36,Casado,Ventas
FALSO,F,27,Soltero,Otra
FALSO,F,23,Soltero,Hosteleria
FALSO,M,27,Casado,Otra
FALSO,M,41,Casado,Ejecutivo
FALSO,F,28,Soltero,Otra
FALSO,F,31,Casado,Profesional
FALSO,M,32,Casado,Ejecutivo
FALSO,M,32,Casado,Ejecutivo
FALSO,F,64,Casado,Otra
FALSO,F,27,Soltero,Estudiante
FALSO,F,29,Casado,Otra
FALSO,M,36,Casado,Ejecutivo
FALSO,M,35,Casado,Ejecutivo
FALSO,M,35,Casado,Ejecutivo
FALSO,M,35,Casado,Ejecutivo
FALSO,M,35,Casado,Ejecutivo
FALSO,M,35,Casado,Ejecutivo
FALSO,M,35,Casado,Ejecutivo
FALSO,F,48,Casado,Retail
FALSO,F,48,Casado,Retail
VERDADERO,M,34,Casado,Otra
VERDADERO,M,34,Casado,Otra
VERDADERO,M,22,Soltero,Ventas
VERDADERO,M,28,Soltero,Profesional
FALSO,F,35,Soltero,Profesional
FALSO,F,38,Casado,Ejecutivo
FALSO,M,39,Soltero,Otra
FALSO,F,24,Soltero,Estudiante
FALSO,F,31,Soltero,Otra
FALSO,M,42,Casado,Otra
FALSO,M,42,Casado,Otra
FALSO,F,23,Soltero,Hosteleria
FALSO,F,36,Casado,Otra
FALSO,F,36,Casado,Otra
FALSO,F,22,Soltero,Estudiante
FALSO,F,26,Soltero,Ventas
FALSO,M,31,Soltero,Comerciantes
FALSO,M,31,Soltero,Comerciantes
FALSO,F,31,Casado,Otra
FALSO,F,49,Casado,Profesional
FALSO,F,22,Soltero,Retail
FALSO,M,37,Casado,Otra
FALSO,M,25,Soltero,Otra
FALSO,M,37,Casado,Comerciantes
FALSO,M,37,Casado,Comerciantes
FALSO,M,43,Casado,Ventas
VERDADERO,M,43,Casado,Ventas
FALSO,M,43,Casado,Ventas
FALSO,M,43,Soltero,Otra
FALSO,M,43,Soltero,Otra
FALSO,M,43,Soltero,Otra
FALSO,M,43,Soltero,Otra
FALSO,F,35,Casado,Profesional
FALSO,F,35,Casado,Profesional
FALSO,F,49,Casado,Otra
FALSO,F,49,Casado,Otra
FALSO,F,35,Desconocido,Hosteleria
FALSO,F,35,Desconocido,Hosteleria
FALSO,F,35,Desconocido,Hosteleria
FALSO,F,35,Desconocido,Hosteleria
FALSO,M,28,Soltero,Profesional
FALSO,M,35,Casado,Otra
FALSO,M,26,Casado,Ejecutivo
FALSO,M,44,Casado,Otra
FALSO,M,28,Casado,Otra
FALSO,M,28,Casado,Otra
VERDADERO,F,38,Casado,Ejecutivo
FALSO,M,22,Soltero,Profesional
FALSO,M,22,Soltero,Profesional
FALSO,M,24,Soltero,Retail
FALSO,M,24,Soltero,Retail
FALSO,M,24,Soltero,Retail
VERDADERO,F,41,Desconocido,Hosteleria
FALSO,F,41,Desconocido,Hosteleria
FALSO,F,29,Soltero,Otra
FALSO,F,65,Desconocido,Hosteleria
FALSO,M,42,Casado,Ventas
FALSO,F,40,Casado,Ventas
FALSO,M,37,Desconocido,Comerciantes
FALSO,M,37,Desconocido,Comerciantes
FALSO,M,37,Desconocido,Comerciantes
FALSO,F,32,Casado,Ejecutivo
FALSO,F,21,Soltero,Hosteleria
FALSO,F,21,Soltero,Hosteleria
FALSO,M,43,Casado,Ventas
FALSO,F,67,Casado,Otra
FALSO,M,40,Casado,Otra
VERDADERO,M,40,Casado,Otra
FALSO,M,19,Soltero,Estudiante
FALSO,M,19,Soltero,Estudiante
VERDADERO,M,19,Soltero,Estudiante
FALSO,F,39,Casado,Otra
FALSO,M,50,Desconocido,Otra
FALSO,M,50,Desconocido,Otra
VERDADERO,M,29,Soltero,Comerciantes
FALSO,M,29,Soltero,Comerciantes
FALSO,F,48,Desconocido,Hosteleria
FALSO,F,22,Soltero,Retail
FALSO,F,37,Casado,Otra
VERDADERO,M,23,Soltero,Ejecutivo
FALSO,M,23,Soltero,Ejecutivo
FALSO,F,37,Casado,Profesional
FALSO,F,32,Casado,Ejecutivo
FALSO,F,32,Casado,Ejecutivo
FALSO,F,19,Soltero,Otra
FALSO,F,26,Soltero,Otra
FALSO,M,39,Casado,Otra
FALSO,F,37,Casado,Otra
FALSO,F,37,Casado,Otra
FALSO,F,20,Casado,Retail
FALSO,F,51,Casado,Otra
FALSO,F,24,Soltero,Profesional
VERDADERO,M,38,Soltero,Profesional
FALSO,M,38,Soltero,Profesional
FALSO,M,38,Soltero,Profesional
VERDADERO,M,38,Casado,Comerciantes
FALSO,M,36,Casado,Comerciantes
FALSO,M,36,Casado,Comerciantes
FALSO,F,44,Casado,Ejecutivo
FALSO,F,20,Soltero,Otra
FALSO,M,31,Soltero,Profesional
FALSO,M,31,Soltero,Profesional
FALSO,F,46,Casado,Hosteleria
FALSO,F,46,Casado,Hosteleria
FALSO,M,32,Soltero,Otra
FALSO,M,28,Soltero,Comerciantes
FALSO,M,28,Soltero,Comerciantes
FALSO,M,28,Soltero,Comerciantes
FALSO,F,37,Casado,Otra
FALSO,F,37,Casado,Otra
FALSO,F,37,Casado,Otra
FALSO,M,33,Soltero,Otra
FALSO,F,29,Soltero,Retail
FALSO,M,35,Casado,Otra
FALSO,M,35,Casado,Otra
FALSO,F,28,Soltero,Profesional
FALSO,M,32,Casado,Profesional
FALSO,M,31,Soltero,Otra
FALSO,M,31,Soltero,Otra
FALSO,F,22,Soltero,Profesional
VERDADERO,M,26,Soltero,Ventas
VERDADERO,M,44,Casado,Comerciantes
FALSO,M,30,Casado,Profesional
FALSO,F,28,Soltero,Retail
FALSO,F,28,Casado,Ejecutivo
VERDADERO,M,29,Soltero,Otra
FALSO,M,29,Soltero,Otra
FALSO,M,35,Casado,Ventas
FALSO,M,40,Casado,Otra
FALSO,M,40,Casado,Otra
FALSO,M,21,Soltero,Estudiante
VERDADERO,M,29,Soltero,Profesional
FALSO,M,40,Casado,Otra
FALSO,M,46,Casado,Profesional
FALSO,M,46,Casado,Profesional
FALSO,M,46,Casado,Profesional
FALSO,M,31,Desconocido,Profesional
VERDADERO,M,22,Soltero,Ventas
FALSO,M,22,Soltero,Ventas
FALSO,F,35,Casado,Profesional
FALSO,F,32,Casado,Ejecutivo
VERDADERO,M,39,Casado,Otra
FALSO,M,39,Casado,Otra
VERDADERO,M,19,Soltero,Ventas
FALSO,F,26,Soltero,Otra
FALSO,M,42,Casado,Otra
VERDADERO,M,42,Casado,Otra
FALSO,F,41,Casado,Otra
FALSO,F,41,Casado,Otra
VERDADERO,M,24,Soltero,Otra
FALSO,F,48,Casado,Otra
FALSO,M,41,Casado,Profesional
FALSO,M,41,Casado,Profesional
FALSO,F,46,Casado,Otra
FALSO,F,39,Casado,Otra
FALSO,F,20,Soltero,Otra
VERDADERO,F,19,Soltero,Otra
FALSO,F,42,Casado,Ventas
FALSO,F,32,Casado,Profesional
FALSO,F,21,Soltero,Otra
FALSO,M,25,Soltero,Otra
FALSO,M,25,Soltero,Otra
FALSO,F,48,Casado,Profesional
VERDADERO,M,30,Soltero,Otra
FALSO,M,30,Soltero,Otra
FALSO,M,27,Soltero,Profesional
FALSO,M,49,Casado,Profesional
FALSO,M,49,Casado,Profesional
FALSO,M,49,Casado,Profesional
FALSO,M,40,Casado,Otra
FALSO,F,38,Desconocido,Hosteleria
FALSO,F,38,Desconocido,Hosteleria
FALSO,M,55,Desconocido,Otra
FALSO,M,55,Desconocido,Otra
VERDADERO,M,21,Soltero,Ventas
FALSO,M,21,Soltero,Ventas
FALSO,F,57,Casado,Otra
FALSO,F,57,Casado,Otra
FALSO,F,57,Casado,Otra
FALSO,F,24,Soltero,Ventas
FALSO,F,34,Casado,Ejecutivo
FALSO,F,34,Casado,Ejecutivo
FALSO,F,34,Casado,Ejecutivo
FALSO,M,34,Casado,Ejecutivo
VERDADERO,M,34,Casado,Ejecutivo
FALSO,F,28,Soltero,Ventas
VERDADERO,M,29,Soltero,Ventas
VERDADERO,F,21,Casado,Retail
FALSO,F,21,Casado,Retail
FALSO,F,21,Casado,Retail
FALSO,F,39,Casado,Otra
FALSO,F,39,Casado,Otra
FALSO,F,39,Casado,Otra
FALSO,F,39,Casado,Otra
FALSO,M,34,Soltero,Comerciantes
FALSO,M,34,Soltero,Comerciantes
FALSO,M,34,Casado,Otra
FALSO,F,34,Casado,Ejecutivo
FALSO,F,26,Casado,Otra
FALSO,F,26,Casado,Otra
FALSO,F,37,Soltero,Otra
FALSO,F,29,Soltero,Otra
FALSO,M,19,Soltero,Profesional
FALSO,M,41,Casado,Otra
FALSO,M,41,Casado,Otra
FALSO,M,41,Casado,Otra
FALSO,F,27,Soltero,Profesional
VERDADERO,M,33,Soltero,Comerciantes
FALSO,F,38,Soltero,Otra
FALSO,F,44,Casado,Otra
FALSO,F,40,Casado,Otra
FALSO,F,40,Casado,Otra
FALSO,F,40,Casado,Otra
FALSO,F,40,Casado,Otra
FALSO,M,31,Casado,Comerciantes
FALSO,M,32,Casado,Ejecutivo
FALSO,M,35,Casado,Otra
FALSO,M,35,Casado,Otra
FALSO,F,18,Soltero,Profesional
FALSO,M,40,Casado,Otra
FALSO,M,40,Casado,Otra
FALSO,M,40,Casado,Otra
FALSO,M,57,Casado,Comerciantes
FALSO,M,57,Casado,Comerciantes
FALSO,M,20,Soltero,Otra
FALSO,F,27,Soltero,Otra
FALSO,F,51,Casado,Otra
FALSO,F,33,Soltero,Profesional
FALSO,F,21,Soltero,Profesional
FALSO,M,25,Soltero,Otra
VERDADERO,F,32,Casado,Otra
FALSO,F,32,Casado,Otra
FALSO,F,32,Casado,Otra
FALSO,F,22,Casado,Otra
FALSO,F,26,Soltero,Otra
FALSO,M,22,Soltero,Ventas
FALSO,M,22,Soltero,Ventas
FALSO,M,25,Soltero,Estudiante
FALSO,M,25,Soltero,Estudiante
FALSO,M,25,Soltero,Estudiante
FALSO,F,26,Casado,Otra
FALSO,F,26,Casado,Otra
FALSO,F,62,Casado,Otra
VERDADERO,M,21,Soltero,Comerciantes
FALSO,M,21,Soltero,Comerciantes
FALSO,F,31,Casado,Hosteleria
FALSO,F,31,Casado,Hosteleria
FALSO,M,19,Soltero,Profesional
FALSO,M,19,Soltero,Profesional
FALSO,F,25,Soltero,Otra
FALSO,F,25,Soltero,Otra
FALSO,F,35,Soltero,Profesional
VERDADERO,M,28,Soltero,Ventas
FALSO,M,28,Soltero,Ventas
VERDADERO,M,24,Soltero,Otra
FALSO,F,37,Casado,Otra
FALSO,M,36,Casado,Profesional
FALSO,M,36,Casado,Profesional
FALSO,M,36,Casado,Profesional
VERDADERO,M,40,Casado,Otra
FALSO,M,40,Casado,Otra
FALSO,M,37,Casado,Otra
FALSO,F,67,Casado,Otra
FALSO,M,24,Soltero,Otra
FALSO,M,24,Soltero,Otra
FALSO,F,23,Soltero,Otra
FALSO,M,34,Casado,Ventas
FALSO,M,19,Soltero,Otra
FALSO,F,37,Soltero,Retail
FALSO,F,20,Soltero,Otra
FALSO,F,38,Casado,Profesional
FALSO,F,25,Soltero,Otra
FALSO,F,27,Soltero,Profesional
VERDADERO,M,33,Casado,Otra
VERDADERO,M,33,Casado,Otra
FALSO,M,33,Casado,Otra
FALSO,F,20,Soltero,Otra
FALSO,M,31,Soltero,Otra
FALSO,M,42,Casado,Otra
FALSO,M,21,Soltero,Estudiante
FALSO,M,48,Desconocido,Otra
FALSO,M,48,Desconocido,Otra
FALSO,M,48,Desconocido,Otra
FALSO,F,49,Casado,Otra
FALSO,F,49,Casado,Hosteleria
FALSO,F,38,Casado,Ejecutivo
FALSO,F,38,Casado,Ejecutivo
VERDADERO,M,31,Soltero,Profesional
FALSO,F,24,Soltero,Otra
FALSO,F,24,Soltero,Otra
FALSO,F,24,Soltero,Otra
FALSO,F,24,Soltero,Otra
VERDADERO,M,25,Soltero,Otra
FALSO,M,25,Soltero,Otra
FALSO,M,19,Soltero,Estudiante
FALSO,M,30,Casado,Otra
FALSO,M,30,Casado,Otra
FALSO,M,44,Soltero,Otra
FALSO,F,26,Soltero,Otra
FALSO,F,36,Casado,Otra
FALSO,M,42,Soltero,Otra
FALSO,M,42,Soltero,Otra
FALSO,F,38,Casado,Ejecutivo
FALSO,M,39,Casado,Ventas
FALSO,F,45,Casado,Hosteleria
VERDADERO,F,20,Soltero,Otra
VERDADERO,F,33,Casado,Otra
FALSO,F,47,Casado,Jubilado
FALSO,F,34,Casado,Retail
FALSO,M,40,Casado,Comerciantes
FALSO,F,25,Casado,Profesional
FALSO,F,25,Soltero,Profesional
VERDADERO,M,19,Soltero,Profesional
FALSO,M,19,Soltero,Profesional
VERDADERO,M,27,Casado,Profesional
FALSO,F,47,Desconocido,Hosteleria
FALSO,M,40,Casado,Comerciantes
FALSO,M,40,Casado,Comerciantes
FALSO,M,40,Casado,Comerciantes
FALSO,M,29,Casado,Profesional
FALSO,F,19,Soltero,Estudiante
FALSO,M,34,Soltero,Profesional
FALSO,M,34,Soltero,Profesional
VERDADERO,F,46,Casado,Ejecutivo
FALSO,F,46,Casado,Ejecutivo
FALSO,F,52,Casado,Otra
FALSO,M,38,Casado,Ejecutivo
FALSO,M,38,Casado,Ejecutivo
FALSO,M,43,Soltero,Ventas
FALSO,F,30,Casado,Hosteleria
FALSO,F,31,Casado,Otra
FALSO,F,31,Casado,Otra
FALSO,F,31,Casado,Otra
FALSO,M,24,Soltero,Profesional
FALSO,F,29,Soltero,Hosteleria
FALSO,F,39,Desconocido,Otra
FALSO,F,39,Desconocido,Otra
FALSO,F,39,Desconocido,Otra
FALSO,F,62,Casado,Otra
FALSO,F,29,Soltero,Profesional
FALSO,F,51,Casado,Otra
FALSO,F,52,Casado,Otra
FALSO,F,52,Casado,Otra
FALSO,F,46,Casado,Otra
FALSO,F,46,Casado,Otra
VERDADERO,M,22,Soltero,Profesional
FALSO,F,52,Casado,Otra
VERDADERO,M,23,Soltero,Profesional
FALSO,M,29,Soltero,Comerciantes
FALSO,M,40,Casado,Ventas
FALSO,M,37,Casado,Ventas
FALSO,M,37,Casado,Ventas
FALSO,M,40,Casado,Ventas
FALSO,M,56,Casado,Otra
FALSO,M,27,Soltero,Profesional
FALSO,M,27,Soltero,Profesional
FALSO,F,52,Casado,Otra
FALSO,F,27,Soltero,Profesional
FALSO,M,20,Soltero,Comerciantes
FALSO,M,44,Casado,Comerciantes
FALSO,M,44,Casado,Comerciantes
FALSO,M,40,Casado,Comerciantes
VERDADERO,M,38,Casado,Ventas
FALSO,M,19,Soltero,Ventas
FALSO,M,19,Soltero,Ventas
FALSO,M,24,Soltero,Estudiante
FALSO,F,48,Casado,Otra
FALSO,F,27,Soltero,Estudiante
FALSO,F,27,Soltero,Estudiante
FALSO,F,27,Soltero,Estudiante
FALSO,F,27,Soltero,Estudiante
FALSO,F,39,Soltero,Otra
FALSO,M,33,Casado,Profesional
FALSO,M,33,Casado,Profesional
FALSO,F,27,Casado,Ventas
FALSO,M,26,Casado,Otra
FALSO,M,33,Casado,Otra
VERDADERO,M,34,Casado,Ventas
FALSO,M,39,Casado,Ventas
FALSO,F,42,Casado,Otra
FALSO,M,28,Soltero,Profesional
FALSO,M,23,Soltero,Estudiante
VERDADERO,F,41,Casado,Ejecutivo
FALSO,F,41,Casado,Ejecutivo
FALSO,F,46,Casado,Otra
FALSO,F,66,Desconocido,Hosteleria
FALSO,F,66,Desconocido,Hosteleria
FALSO,M,43,Casado,Otra
FALSO,M,43,Casado,Otra
FALSO,F,37,Casado,Ejecutivo
FALSO,M,43,Casado,Otra
FALSO,M,21,Soltero,Estudiante
FALSO,M,42,Casado,Otra
VERDADERO,M,27,Soltero,Comerciantes
VERDADERO,M,20,Soltero,Otra
FALSO,M,20,Soltero,Otra
VERDADERO,M,28,Soltero,Profesional
FALSO,M,31,Casado,Comerciantes
FALSO,M,26,Soltero,Otra
FALSO,M,23,Soltero,Ventas
FALSO,F,35,Casado,Otra
FALSO,F,35,Casado,Otra
FALSO,M,58,Casado,Otra
FALSO,F,49,Casado,Otra
FALSO,F,41,Casado,Jubilado
FALSO,F,63,Casado,Jubilado
FALSO,F,38,Casado,Otra
FALSO,F,30,Casado,Hosteleria
VERDADERO,F,27,Soltero,Otra
FALSO,F,27,Soltero,Otra
FALSO,M,33,Casado,Ventas
FALSO,M,33,Casado,Ventas
FALSO,M,44,Casado,Otra
VERDADERO,M,24,Soltero,Otra
FALSO,M,24,Soltero,Otra
FALSO,F,44,Casado,Otra
FALSO,F,44,Casado,Otra
FALSO,F,35,Casado,Ejecutivo
VERDADERO,M,24,Soltero,Otra
FALSO,M,24,Soltero,Otra
VERDADERO,M,44,Casado,Comerciantes
VERDADERO,M,44,Casado,Comerciantes
FALSO,M,44,Casado,Comerciantes
VERDADERO,F,25,Soltero,Otra
